127.0.0.1 - - [17/Mar/2022:11:04:05 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:23 -0300] "GET /aplicacao-jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:24 -0300] "GET /aplicacao-jsp/ HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:24 -0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/icon/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/css/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/css/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "POST /aplicacao-jsp/ServletLogin HTTP/1.1" 200 21624
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/pages/waves/css/waves.min.css HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/images/logo.png HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 200 13832
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/SmoothScroll.js HTTP/1.1" 200 20440
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/modernizr/modernizr.js HTTP/1.1" 200 51347
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 45479
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/chart.js/Chart.js HTTP/1.1" 200 150144
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/js/popper.js/popper.min.js HTTP/1.1" 200 19208
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:04:31 -0300] "GET /aplicacao-jsp/assets/pages/waves/js/waves.min.js HTTP/1.1" 200 6227
